# Intrinsic 2nd anomalous hall conductivity
# in unit of A*V^-2 for 3D cases, Ang*A*V^-2 for 2D cases
#  Energy (eV)      \sigma_xyy      \sigma_yxx
 -0.12200000E-01 -0.71590260E-02  0.27104528E-01
 -0.12000000E-01 -0.74632893E-02  0.28279821E-01
 -0.11800000E-01 -0.77848194E-02  0.29521020E-01
 -0.11600000E-01 -0.81251731E-02  0.30832874E-01
 -0.11400000E-01 -0.84859959E-02  0.32220408E-01
 -0.11200000E-01 -0.88688603E-02  0.33688888E-01
 -0.11000000E-01 -0.92751824E-02  0.35243814E-01
 -0.10800000E-01 -0.97062563E-02  0.36890910E-01
 -0.10600000E-01 -0.10163377E-01  0.38636113E-01
 -0.10400000E-01 -0.10647976E-01  0.40485540E-01
 -0.10200000E-01 -0.11161692E-01  0.42445411E-01
 -0.10000000E-01 -0.11706319E-01  0.44521929E-01
 -0.98000000E-02 -0.12283664E-01  0.46721119E-01
 -0.96000000E-02 -0.12895353E-01  0.49048607E-01
 -0.94000000E-02 -0.13542683E-01  0.51509355E-01
 -0.92000000E-02 -0.14226539E-01  0.54107338E-01
 -0.90000000E-02 -0.14947378E-01  0.56845148E-01
 -0.88000000E-02 -0.15705217E-01  0.59723522E-01
 -0.86000000E-02 -0.16499560E-01  0.62740753E-01
 -0.84000000E-02 -0.17329216E-01  0.65891980E-01
 -0.82000000E-02 -0.18192016E-01  0.69168320E-01
 -0.80000000E-02 -0.19084460E-01  0.72555851E-01
 -0.78000000E-02 -0.20001336E-01  0.76034439E-01
 -0.76000000E-02 -0.20935339E-01  0.79576412E-01
 -0.74000000E-02 -0.21876694E-01  0.83145126E-01
 -0.72000000E-02 -0.22812788E-01  0.86693448E-01
 -0.70000000E-02 -0.23727838E-01  0.90162290E-01
 -0.68000000E-02 -0.24602631E-01  0.93479284E-01
 -0.66000000E-02 -0.25414352E-01  0.96557800E-01
 -0.64000000E-02 -0.26136499E-01  0.99296441E-01
 -0.62000000E-02 -0.26738887E-01  0.10157926E+00
 -0.60000000E-02 -0.27187829E-01  0.10327701E+00
 -0.58000000E-02 -0.27446657E-01  0.10424971E+00
 -0.56000000E-02 -0.27476818E-01  0.10435106E+00
 -0.54000000E-02 -0.27239663E-01  0.10343471E+00
 -0.52000000E-02 -0.26698831E-01  0.10136239E+00
 -0.50000000E-02 -0.25822922E-01  0.98013166E-01
 -0.48000000E-02 -0.24588059E-01  0.93293139E-01
 -0.46000000E-02 -0.22980022E-01  0.87144226E-01
 -0.44000000E-02 -0.20995731E-01  0.79550824E-01
 -0.42000000E-02 -0.18643931E-01  0.70542896E-01
 -0.40000000E-02 -0.15944831E-01  0.60194311E-01
 -0.38000000E-02 -0.12928519E-01  0.48615942E-01
 -0.36000000E-02 -0.96321367E-02  0.35944214E-01
 -0.34000000E-02 -0.60961896E-02  0.22327132E-01
 -0.32000000E-02 -0.23607425E-02  0.79107494E-02
 -0.30000000E-02  0.15375988E-02 -0.71708272E-02
 -0.28000000E-02  0.55671301E-02 -0.22799445E-01
 -0.26000000E-02  0.97004723E-02 -0.38869734E-01
 -0.24000000E-02  0.13911972E-01 -0.55278920E-01
 -0.22000000E-02  0.18173499E-01 -0.71911109E-01
 -0.20000000E-02  0.22449411E-01 -0.88618565E-01
 -0.18000000E-02  0.26691658E-01 -0.10520333E+00
 -0.16000000E-02  0.30836094E-01 -0.12140302E+00
 -0.14000000E-02  0.34800974E-01 -0.13688475E+00
 -0.12000000E-02  0.38488374E-01 -0.15125050E+00
 -0.10000000E-02  0.41788908E-01 -0.16405599E+00
 -0.80000000E-03  0.44589558E-01 -0.17484272E+00
 -0.60000000E-03  0.46783872E-01 -0.18318013E+00
 -0.40000000E-03  0.48283199E-01 -0.18871200E+00
 -0.20000000E-03  0.49027215E-01 -0.19119949E+00
  0.59005285E-17  0.48991944E-01 -0.19055295E+00
  0.20000000E-03  0.48193741E-01 -0.18684655E+00
  0.40000000E-03  0.46688456E-01 -0.18031306E+00
  0.60000000E-03  0.44565891E-01 -0.17132002E+00
